Header	Length	%A(3)	%T(3)	%G(3)	%C(3)	%GC(all)	%GC(1)	%GC(2)	%GC(3)	COUSIN_18	COUSIN_59	CAI_59	CAI_18	ENC	SCUO	FOP	CBI	ICDI	Scaled_Chi	GRAVY	AROMA	eucl_dist_vs_ref (a.a)	eucl_dist_vs_H0 (a.a)
KY500676_2_1-186,793-838,1026-1073,1375-1796 Homo sapiens isolate 00hurefPGF TNF gene, complete cds_4	702	21.795	22.65	26.923	28.632	52.707	58.974	43.59	55.556	0.981	0.762	0.751	0.812	54.314	0.096	0.424	0.16	0.187	0.286	-0.047	0.082	0.051	0.131
KY500676_2_1-186,793-838,1026-1073,1375-1796 Homo sapiens isolate 00hurefPGF TNF gene, complete cds_5	702	24.786	18.376	29.915	26.923	53.419	60.256	43.162	56.838	-0.254	0.329	0.739	0.781	56.462	0.099	0.384	0.102	0.124	0.277	-0.047	0.082	0.051	0.131
KY500676_2_1-186,793-838,1026-1073,1375-1796 Homo sapiens isolate 00hurefPGF TNF gene, complete cds_6	702	19.658	23.077	29.487	27.778	53.134	58.974	43.162	57.265	1.204	1.203	0.775	0.828	49.911	0.112	0.45	0.198	0.175	0.29	-0.047	0.082	0.051	0.131
KY500676_2_1-186,793-838,1026-1073,1375-1796 Homo sapiens isolate 00hurefPGF TNF gene, complete cds_7	702	20.085	21.795	30.342	27.778	52.991	57.265	43.59	58.12	1.251	1.09	0.758	0.809	54.574	0.106	0.419	0.153	0.111	0.277	-0.047	0.082	0.051	0.131
KY500676_2_1-186,793-838,1026-1073,1375-1796 Homo sapiens isolate 00hurefPGF TNF gene, complete cds_8	702	16.667	22.65	27.778	32.906	54.274	58.974	43.162	60.684	1.802	1.758	0.788	0.838	49.193	0.143	0.493	0.262	0.177	0.286	-0.047	0.082	0.051	0.131
KY500676_2_1-186,793-838,1026-1073,1375-1796 Homo sapiens isolate 00hurefPGF TNF gene, complete cds_9	702	17.521	19.658	31.624	31.197	55.84	61.538	43.162	62.821	0.695	0.636	0.746	0.793	56.561	0.108	0.437	0.179	0.1	0.273	-0.047	0.082	0.051	0.131
BC093731_1_96-3719 Homo sapiens epidermal growth factor (beta-urogastrone), mRNA (cDNA clone MGC_120766 IMAGE_7939576), complete cds	3624	25.993	31.871	22.434	19.702	46.468	53.891	43.377	42.136	-0.584	-0.388	0.737	0.766	53.031	0.066	0.31	-0.041	0.077	0.534	-0.295	0.077	0.056	0.087
BC093731_1_96-3719 Homo sapiens epidermal growth factor (beta-urogastrone), mRNA (cDNA clone MGC_120766 IMAGE_7939576), complete cds_0	3624	17.219	23.758	28.725	30.298	52.677	55.629	43.377	59.023	0.785	0.9	0.778	0.804	54.586	0.055	0.421	0.126	0.051	0.533	-0.295	0.077	0.056	0.087
BC093731_1_96-3719 Homo sapiens epidermal growth factor (beta-urogastrone), mRNA (cDNA clone MGC_120766 IMAGE_7939576), complete cds_1	3624	17.715	23.013	28.394	30.877	52.649	55.298	43.377	59.272	0.73	0.728	0.776	0.805	53.778	0.058	0.443	0.159	0.062	0.533	-0.295	0.077	0.056	0.087
BC093731_1_96-3719 Homo sapiens epidermal growth factor (beta-urogastrone), mRNA (cDNA clone MGC_120766 IMAGE_7939576), complete cds_2	3624	19.95	22.103	26.242	31.705	51.959	54.636	43.295	57.947	0.756	0.817	0.763	0.791	56.044	0.044	0.435	0.147	0.041	0.533	-0.295	0.077	0.056	0.087
BC093731_1_96-3719 Homo sapiens epidermal growth factor (beta-urogastrone), mRNA (cDNA clone MGC_120766 IMAGE_7939576), complete cds_3	3624	16.722	24.503	27.815	30.96	52.401	55.05	43.377	58.775	0.843	0.841	0.774	0.802	54.667	0.057	0.44	0.155	0.056	0.533	-0.295	0.077	0.056	0.087
BC093731_1_96-3719 Homo sapiens epidermal growth factor (beta-urogastrone), mRNA (cDNA clone MGC_120766 IMAGE_7939576), complete cds_4	3624	17.715	22.02	27.649	32.616	52.815	54.884	43.295	60.265	1.233	1.193	0.773	0.801	54.591	0.057	0.44	0.155	0.055	0.533	-0.295	0.077	0.056	0.087
BC093731_1_96-3719 Homo sapiens epidermal growth factor (beta-urogastrone), mRNA (cDNA clone MGC_120766 IMAGE_7939576), complete cds_5	3624	19.288	23.924	25.248	31.54	51.683	54.884	43.377	56.788	1.008	0.908	0.772	0.802	55.394	0.049	0.425	0.133	0.046	0.533	-0.295	0.077	0.056	0.087
BC093731_1_96-3719 Homo sapiens epidermal growth factor (beta-urogastrone), mRNA (cDNA clone MGC_120766 IMAGE_7939576), complete cds_6	3624	16.225	23.593	26.656	33.526	53.008	55.464	43.377	60.182	1.29	1.156	0.773	0.8	55.301	0.05	0.446	0.164	0.051	0.533	-0.295	0.077	0.056	0.087
BC093731_1_96-3719 Homo sapiens epidermal growth factor (beta-urogastrone), mRNA (cDNA clone MGC_120766 IMAGE_7939576), complete cds_7	3624	17.219	22.517	27.815	32.45	52.87	54.967	43.377	60.265	1.43	1.345	0.787	0.818	53.31	0.069	0.459	0.184	0.069	0.533	-0.295	0.077	0.056	0.087
BC093731_1_96-3719 Homo sapiens epidermal growth factor (beta-urogastrone), mRNA (cDNA clone MGC_120766 IMAGE_7939576), complete cds_8	3624	18.543	21.689	27.401	32.368	52.759	55.132	43.377	59.768	1.391	1.312	0.787	0.814	52.038	0.071	0.47	0.201	0.07	0.533	-0.295	0.077	0.056	0.087
BC093731_1_96-3719 Homo sapiens epidermal growth factor (beta-urogastrone), mRNA (cDNA clone MGC_120766 IMAGE_7939576), complete cds_9	3624	16.142	23.427	27.401	33.03	52.787	54.553	43.377	60.43	1.008	0.913	0.779	0.808	54.117	0.058	0.444	0.161	0.056	0.533	-0.295	0.077	0.056	0.087
AH011307_2_1251-1296,1541-1669,2097-2208,2483-2630,2976-3107,3180-3245,3545-3613,3876-4001,4312-4440,4657-4871,5276-5363,5689-5791,6129-6208 Homo sapiens clone BAC 150E7 from Research Genetics AKT1 (AKT1) gene, complete cds	1443	4.99	10.395	40.956	43.659	59.529	57.588	36.383	84.615	2.69	2.627	0.87	0.882	36.931	0.338	0.676	0.502	0.412	0.503	-0.576	0.108	0.067	0.097
AH011307_2_1251-1296,1541-1669,2097-2208,2483-2630,2976-3107,3180-3245,3545-3613,3876-4001,4312-4440,4657-4871,5276-5363,5689-5791,6129-6208 Homo sapiens clone BAC 150E7 from Research Genetics AKT1 (AKT1) gene, complete cds_0	1443	19.751	20.166	31.393	28.69	50.45	55.094	36.175	60.083	1.155	1.173	0.78	0.794	57.183	0.057	0.457	0.165	0.064	0.489	-0.576	0.108	0.067	0.097
AH011307_2_1251-1296,1541-1669,2097-2208,2483-2630,2976-3107,3180-3245,3545-3613,3876-4001,4312-4440,4657-4871,5276-5363,5689-5791,6129-6208 Homo sapiens clone BAC 150E7 from Research Genetics AKT1 (AKT1) gene, complete cds_1	1443	20.582	20.166	29.106	30.146	49.757	53.846	36.175	59.252	1.23	1.112	0.771	0.792	57.243	0.054	0.451	0.155	0.052	0.487	-0.576	0.108	0.067	0.097
AH011307_2_1251-1296,1541-1669,2097-2208,2483-2630,2976-3107,3180-3245,3545-3613,3876-4001,4312-4440,4657-4871,5276-5363,5689-5791,6129-6208 Homo sapiens clone BAC 150E7 from Research Genetics AKT1 (AKT1) gene, complete cds_2	1443	18.503	21.83	34.511	25.156	50.035	54.054	36.383	59.667	0.814	1.247	0.798	0.806	52.741	0.109	0.486	0.209	0.094	0.487	-0.576	0.108	0.067	0.097
AH011307_2_1251-1296,1541-1669,2097-2208,2483-2630,2976-3107,3180-3245,3545-3613,3876-4001,4312-4440,4657-4871,5276-5363,5689-5791,6129-6208 Homo sapiens clone BAC 150E7 from Research Genetics AKT1 (AKT1) gene, complete cds_3	1443	20.166	22.661	29.938	27.235	49.48	54.886	36.383	57.173	0.601	0.759	0.766	0.785	56.642	0.071	0.427	0.118	0.075	0.487	-0.576	0.108	0.067	0.097
AH011307_2_1251-1296,1541-1669,2097-2208,2483-2630,2976-3107,3180-3245,3545-3613,3876-4001,4312-4440,4657-4871,5276-5363,5689-5791,6129-6208 Homo sapiens clone BAC 150E7 from Research Genetics AKT1 (AKT1) gene, complete cds_4	1443	19.751	20.374	29.314	30.561	49.827	53.222	36.383	59.875	1.021	0.989	0.783	0.807	56.36	0.059	0.444	0.145	0.071	0.489	-0.576	0.108	0.067	0.097
AH011307_2_1251-1296,1541-1669,2097-2208,2483-2630,2976-3107,3180-3245,3545-3613,3876-4001,4312-4440,4657-4871,5276-5363,5689-5791,6129-6208 Homo sapiens clone BAC 150E7 from Research Genetics AKT1 (AKT1) gene, complete cds_5	1443	19.958	22.037	31.185	26.819	49.342	53.638	36.383	58.004	0.798	1.042	0.781	0.798	56.128	0.074	0.446	0.148	0.082	0.487	-0.576	0.108	0.067	0.097
AH011307_2_1251-1296,1541-1669,2097-2208,2483-2630,2976-3107,3180-3245,3545-3613,3876-4001,4312-4440,4657-4871,5276-5363,5689-5791,6129-6208 Homo sapiens clone BAC 150E7 from Research Genetics AKT1 (AKT1) gene, complete cds_6	1443	19.958	20.79	27.859	31.393	50.312	55.509	36.175	59.252	0.913	0.917	0.794	0.813	53.034	0.092	0.457	0.165	0.107	0.487	-0.576	0.108	0.067	0.097
AH011307_2_1251-1296,1541-1669,2097-2208,2483-2630,2976-3107,3180-3245,3545-3613,3876-4001,4312-4440,4657-4871,5276-5363,5689-5791,6129-6208 Homo sapiens clone BAC 150E7 from Research Genetics AKT1 (AKT1) gene, complete cds_7	1443	21.83	21.414	31.185	25.572	48.995	53.846	36.383	56.757	1.024	1.095	0.787	0.806	56.99	0.058	0.455	0.162	0.073	0.489	-0.576	0.108	0.067	0.097
AH011307_2_1251-1296,1541-1669,2097-2208,2483-2630,2976-3107,3180-3245,3545-3613,3876-4001,4312-4440,4657-4871,5276-5363,5689-5791,6129-6208 Homo sapiens clone BAC 150E7 from Research Genetics AKT1 (AKT1) gene, complete cds_8	1443	20.998	20.166	29.938	28.898	49.757	54.054	36.383	58.836	1.367	1.081	0.783	0.796	54.424	0.08	0.451	0.155	0.08	0.487	-0.576	0.108	0.067	0.097
AH011307_2_1251-1296,1541-1669,2097-2208,2483-2630,2976-3107,3180-3245,3545-3613,3876-4001,4312-4440,4657-4871,5276-5363,5689-5791,6129-6208 Homo sapiens clone BAC 150E7 from Research Genetics AKT1 (AKT1) gene, complete cds_9	1443	21.414	20.166	29.73	28.69	49.272	53.015	36.383	58.42	1.04	0.94	0.783	0.802	56.434	0.057	0.433	0.128	0.066	0.489	-0.576	0.108	0.067	0.097
AB451322_1 Homo sapiens VEGFA mRNA for vascular endothelial growth factor isoform VEGF165, complete cds, clone_ FLJ08203AAAN	576	18.229	17.708	33.333	30.729	52.083	52.083	40.104	64.062	1.67	1.575	0.815	0.82	57.073	0.094	0.525	0.252	0.132	0.346	-0.704	0.073	0.097	0.083
AB451322_1 Homo sapiens VEGFA mRNA for vascular endothelial growth factor isoform VEGF165, complete cds, clone_ FLJ08203AAAN_0	576	18.75	26.042	29.688	25.521	49.826	53.646	40.625	55.208	0.321	0.135	0.822	0.829	53.932	0.11	0.436	0.113	0.17	0.373	-0.704	0.073	0.097	0.083
AB451322_1 Homo sapiens VEGFA mRNA for vascular endothelial growth factor isoform VEGF165, complete cds, clone_ FLJ08203AAAN_1	576	12.5	20.833	34.375	32.292	53.819	54.167	40.625	66.667	1.492	1.535	0.838	0.837	52.016	0.11	0.53	0.261	0.147	0.368	-0.704	0.073	0.097	0.083
AB451322_1 Homo sapiens VEGFA mRNA for vascular endothelial growth factor isoform VEGF165, complete cds, clone_ FLJ08203AAAN_2	576	20.312	22.917	31.25	25.521	49.826	52.604	40.104	56.771	0.949	0.718	0.821	0.822	54.772	0.114	0.425	0.096	0.144	0.368	-0.704	0.073	0.097	0.083
AB451322_1 Homo sapiens VEGFA mRNA for vascular endothelial growth factor isoform VEGF165, complete cds, clone_ FLJ08203AAAN_3	576	23.438	20.312	28.125	28.125	49.306	51.562	40.104	56.25	0.983	1.092	0.782	0.781	57.628	0.061	0.442	0.122	0.093	0.362	-0.704	0.073	0.097	0.083
AB451322_1 Homo sapiens VEGFA mRNA for vascular endothelial growth factor isoform VEGF165, complete cds, clone_ FLJ08203AAAN_4	576	18.75	22.917	31.25	27.083	50.694	53.125	40.625	58.333	1.558	1.338	0.811	0.819	57.537	0.106	0.492	0.2	0.147	0.357	-0.704	0.073	0.097	0.083
AB451322_1 Homo sapiens VEGFA mRNA for vascular endothelial growth factor isoform VEGF165, complete cds, clone_ FLJ08203AAAN_5	576	19.271	20.833	27.083	32.812	51.389	53.646	40.625	59.896	0.991	0.972	0.818	0.82	55.2	0.12	0.448	0.13	0.171	0.357	-0.704	0.073	0.097	0.083
AB451322_1 Homo sapiens VEGFA mRNA for vascular endothelial growth factor isoform VEGF165, complete cds, clone_ FLJ08203AAAN_6	576	19.792	25.521	30.729	23.958	49.306	53.125	40.104	54.688	0.487	0.605	0.806	0.805	52.695	0.078	0.425	0.096	0.133	0.373	-0.704	0.073	0.097	0.083
AB451322_1 Homo sapiens VEGFA mRNA for vascular endothelial growth factor isoform VEGF165, complete cds, clone_ FLJ08203AAAN_7	576	17.708	25.0	30.208	27.083	49.826	51.562	40.625	57.292	0.327	0.569	0.794	0.794	60.5	0.057	0.425	0.096	0.089	0.362	-0.704	0.073	0.097	0.083
AB451322_1 Homo sapiens VEGFA mRNA for vascular endothelial growth factor isoform VEGF165, complete cds, clone_ FLJ08203AAAN_8	576	25.131	19.372	28.796	26.702	48.517	49.215	40.838	55.497	0.621	0.564	0.761	0.767	60.337	0.053	0.428	0.098	0.074	0.357	-0.73	0.074	0.098	0.084
AB451322_1 Homo sapiens VEGFA mRNA for vascular endothelial growth factor isoform VEGF165, complete cds, clone_ FLJ08203AAAN_9	576	17.188	20.833	31.25	30.729	51.562	52.083	40.625	61.979	1.206	1.092	0.797	0.806	53.795	0.095	0.497	0.209	0.18	0.357	-0.704	0.073	0.097	0.083
AF372214_2_1747-1765,1928-2118,3177-3290,3998-4144,5890-6057 Homo sapiens interleukin 6 (IL6) gene, complete cds	639	23.474	17.84	28.638	30.047	50.235	53.521	38.498	58.685	1.389	1.494	0.804	0.825	48.914	0.106	0.498	0.248	0.167	0.316	-0.271	0.071	0.07	0.134
AF372214_2_1747-1765,1928-2118,3177-3290,3998-4144,5890-6057 Homo sapiens interleukin 6 (IL6) gene, complete cds_0	639	17.371	24.413	33.803	24.413	49.922	52.582	38.967	58.216	0.889	0.994	0.758	0.805	50.601	0.092	0.434	0.153	0.207	0.311	-0.271	0.071	0.07	0.134
AF372214_2_1747-1765,1928-2118,3177-3290,3998-4144,5890-6057 Homo sapiens interleukin 6 (IL6) gene, complete cds_1	639	24.413	22.535	25.822	27.23	47.731	51.174	38.967	53.052	0.1	0.429	0.748	0.793	56.556	0.092	0.434	0.153	0.108	0.301	-0.271	0.071	0.07	0.134
AF372214_2_1747-1765,1928-2118,3177-3290,3998-4144,5890-6057 Homo sapiens interleukin 6 (IL6) gene, complete cds_2	639	20.188	23.944	30.516	25.352	48.67	51.174	38.967	55.869	1.165	1.001	0.785	0.827	48.081	0.084	0.459	0.189	0.18	0.325	-0.271	0.071	0.07	0.134
AF372214_2_1747-1765,1928-2118,3177-3290,3998-4144,5890-6057 Homo sapiens interleukin 6 (IL6) gene, complete cds_3	639	20.188	22.066	28.169	29.577	49.139	50.704	38.967	57.746	1.045	0.938	0.763	0.812	52.864	0.1	0.449	0.175	0.231	0.306	-0.271	0.071	0.07	0.134
AF372214_2_1747-1765,1928-2118,3177-3290,3998-4144,5890-6057 Homo sapiens interleukin 6 (IL6) gene, complete cds_4	639	22.066	20.657	30.516	26.761	49.609	53.052	38.498	57.277	1.356	1.144	0.772	0.812	54.35	0.085	0.473	0.211	0.169	0.32	-0.271	0.071	0.07	0.134
AF372214_2_1747-1765,1928-2118,3177-3290,3998-4144,5890-6057 Homo sapiens interleukin 6 (IL6) gene, complete cds_5	639	16.432	17.84	33.803	31.925	52.426	53.052	38.498	65.728	0.984	1.452	0.753	0.791	51.329	0.115	0.468	0.204	0.238	0.316	-0.271	0.071	0.07	0.134
AF372214_2_1747-1765,1928-2118,3177-3290,3998-4144,5890-6057 Homo sapiens interleukin 6 (IL6) gene, complete cds_6	639	18.31	26.291	28.169	27.23	48.67	52.113	38.498	55.399	0.477	0.746	0.776	0.817	47.028	0.134	0.415	0.124	0.239	0.325	-0.271	0.071	0.07	0.134
AF372214_2_1747-1765,1928-2118,3177-3290,3998-4144,5890-6057 Homo sapiens interleukin 6 (IL6) gene, complete cds_7	639	20.657	20.657	28.638	30.047	49.765	52.113	38.498	58.685	0.771	0.808	0.786	0.846	43.897	0.131	0.449	0.175	0.24	0.325	-0.271	0.071	0.07	0.134
AF372214_2_1747-1765,1928-2118,3177-3290,3998-4144,5890-6057 Homo sapiens interleukin 6 (IL6) gene, complete cds_8	639	18.779	19.249	29.577	32.394	51.017	52.582	38.498	61.972	1.123	1.251	0.779	0.816	54.179	0.103	0.478	0.219	0.111	0.301	-0.271	0.071	0.07	0.134
AF372214_2_1747-1765,1928-2118,3177-3290,3998-4144,5890-6057 Homo sapiens interleukin 6 (IL6) gene, complete cds_9	639	19.718	19.718	29.577	30.986	50.235	51.643	38.498	60.563	0.917	0.994	0.769	0.819	52.826	0.075	0.454	0.182	0.122	0.316	-0.271	0.071	0.07	0.134
AH007464_3_61-296,497-735,936-1046,1246-1439,1630-1880,2081-2215,2416-2596,2797-2979,3180-3281,3482-3601,3802-4020 Homo sapiens methylenetetrahydrofolate reductase (MTHFR) gene, complete cds	1971	10.502	14.764	33.942	40.791	57.636	57.382	40.791	74.734	2.6	2.411	0.839	0.865	42.615	0.234	0.604	0.403	0.291	0.486	-0.41	0.104	0.044	0.1
AH007464_3_61-296,497-735,936-1046,1246-1439,1630-1880,2081-2215,2416-2596,2797-2979,3180-3281,3482-3601,3802-4020 Homo sapiens methylenetetrahydrofolate reductase (MTHFR) gene, complete cds_0	1971	18.569	24.505	28.767	28.158	50.736	54.642	40.639	56.925	0.928	0.91	0.78	0.809	55.569	0.064	0.428	0.14	0.06	0.486	-0.41	0.104	0.044	0.1
AH007464_3_61-296,497-735,936-1046,1246-1439,1630-1880,2081-2215,2416-2596,2797-2979,3180-3281,3482-3601,3802-4020 Homo sapiens methylenetetrahydrofolate reductase (MTHFR) gene, complete cds_1	1971	20.091	22.983	26.332	30.594	50.736	54.642	40.639	56.925	1.088	1.076	0.779	0.805	55.234	0.061	0.428	0.14	0.056	0.486	-0.41	0.104	0.044	0.1
AH007464_3_61-296,497-735,936-1046,1246-1439,1630-1880,2081-2215,2416-2596,2797-2979,3180-3281,3482-3601,3802-4020 Homo sapiens methylenetetrahydrofolate reductase (MTHFR) gene, complete cds_2	1971	18.569	25.114	29.224	27.093	50.736	55.251	40.639	56.317	0.783	0.833	0.765	0.795	56.693	0.054	0.417	0.123	0.057	0.486	-0.41	0.104	0.044	0.1
AH007464_3_61-296,497-735,936-1046,1246-1439,1630-1880,2081-2215,2416-2596,2797-2979,3180-3281,3482-3601,3802-4020 Homo sapiens methylenetetrahydrofolate reductase (MTHFR) gene, complete cds_3	1971	20.548	22.527	27.245	29.68	50.888	55.099	40.639	56.925	0.863	0.923	0.78	0.807	53.705	0.078	0.417	0.123	0.085	0.486	-0.41	0.104	0.044	0.1
